sex,species,species_code,weight_g,scp_id,scp
male,Coelopa pilipes,P,4.78,1602,-7.1
male,Coelopa pilipes,P,3.65,1480,-6.2
male,Coelopa pilipes,P,4.88,1796,-8.5
male,Coelopa pilipes,P,3.89,2220,-12.1
male,Coelopa frigida,F,1.09,2479,-12.7
male,Coelopa frigida,F,1.98,2363,-11.8
male,Coelopa frigida,F,1.77,1804,-7.4
male,Coelopa frigida,F,1.27,1990,-8.8
male,Coelopa pilipes,P,7.29,2119,-9.7
male,Coelopa pilipes,P,6.14,1681,-6.3
male,Coelopa pilipes,P,3.75,2138,-10
male,Coelopa pilipes,P,5.72,2054,-8.2
male,Coelopa pilipes,P,6.82,2479,-12.7
male,Coelopa pilipes,P,3.56,2363,-11.8
male,Coelopa pilipes,P,5.55,1804,-7.4
male,Coelopa pilipes,P,7.48,1990,-8.8
male,Coelopa frigida,F,3.14,2625,-14.7
male,Coelopa frigida,F,1.83,1631,-7.3
male,Coelopa frigida,F,10.86,2280,-11.9
male,Coelopa frigida,F,2.39,2122,-11.1
male,Coelopa pilipes,P,4.78,1602,-7.1
male,Coelopa pilipes,P,3.84,1480,-6.2
male,Coelopa pilipes,P,5.92,1796,-8.5
male,Coelopa pilipes,P,5.4,2220,-12.1
male,Coelopa frigida,F,5.39,2468,-12.7
male,Coelopa frigida,F,4.36,1728,-7.3
female,Coelopa frigida,F,4.77,1677,-6.5
female,Coelopa frigida,F,3.6,1904,-9
male,Coelopa pilipes,P,6.33,2075,-9.7
male,Coelopa pilipes,P,5.59,1560,-6.2
female,Coelopa pilipes,P,7.48,2723,-14.7
female,Coelopa pilipes,P,5.16,1584,-6.5
female,Coelopa pilipes,P,7.97,2470,-12.3
female,Coelopa pilipes,P,16.03,2407,-12.3
female,Coelopa pilipes,P,13.86,1806,-7.5
female,Coelopa pilipes,P,8.81,2412,-13